"Lat","Lon","Id","Number","Cells__global_id","Cells__Name","Cells__IsNetObject","Cells__OperatingCompany","Cells__AdmArea","Cells__District","Cells__Address","Cells__PublicPhone__PublicPhone","Cells__SeatsCount","Cells__SocialPrivileges","Cells__Longitude_WGS84","Cells__Latitude_WGS84"
"55.765366956773974","37.621587946238108","45f1b14e-f0cb-4c38-aa97-d5b297a4f314","1","20660594","Бар «Юнион Джек»","нет","null","Центральный административный округ","Мещанский район","Нижний Кисельный переулок, дом 3, строение 1","(495) 621-19-63","30","нет","37.6215879462381080","55.7653669567739740"
"55.8055749999999","37.63571","d09698b1-32da-4957-bded-c00b58af44ed","2","20660628","Бар «Джонни Грин Паб»","нет","null","Северо-Восточный административный округ","Останкинский район","проспект Мира, дом 91, корпус 1","(495) 602-45-85","50","нет","37.6357100000000000","55.8055749999999000"
"55.8274371738441","37.4926033244427","90f91e8a-5b45-4dd9-82e0-d3a1d06c357a","3","20660638","Альтернатива 2","нет","null","Северный административный округ","Войковский район","Ленинградское шоссе, дом 22","(495) 974-04-42","40","нет","37.4926033244427000","55.8274371738441000"
"55.7849966534612","37.4647474589397","f8b9ea5f-29d4-43b1-9ac4-2eda3df8d068","4","20660639","Грэйс Бар","нет","null","Северо-Западный административный округ","район Хорошёво-Мнёвники","улица Маршала Тухачевского, дом 49","(499) 940-34-49","68","нет","37.4647474589397000","55.7849966534612000"
"55.744569","37.56598","39651c39-612e-49bc-9bfa-e5b9b5ca9cde","5","20660775","ICE","нет","null","Западный административный округ","район Дорогомилово","площадь Киевского Вокзала, дом 2","(495) 975-75-75","30","нет","37.5659800000000030","55.7445689999999980"
"55.7568345945054","37.6320644842234","c9a616d2-d84c-401b-b708-267f99f253ea","6","20660826","Бургер бар11 1","нет","null","Центральный административный округ","Басманный район","Лубянский проезд, дом 15, строение 2","(495) 621-31-79","48","нет","37.6320644842234000","55.7568345945054000"
"55.759090896864471","37.550618418864481","0ab7b3b9-e110-41d6-b211-53e13f014e8b","7","20660867","Бар «Разлив»","нет","null","Центральный административный округ","Пресненский район","улица Сергея Макеева, дом 4","(499) 256-41-20","15","нет","37.5506184188644810","55.7590908968644710"
"55.882243910557769","37.614784240722656","13814b57-6680-44a6-8667-793f312da3f5","8","20660898","Пивной бар","нет","null","Северо-Восточный административный округ","район Отрадное","улица Римского-Корсакова, дом 20, строение 2","(499) 203-83-09","40","нет","37.6147842407226560","55.8822439105577700"
"55.7578216589971","37.58304394692145","4bdd2fbb-f036-40a5-8fa4-8e3204f68d5d","9","20660953","Бар «Гудман»","да","Гудман","Центральный административный округ","Пресненский район","Новинский бульвар, дом 31","(495) 644-32-56","50","нет","37.5830439469214500","55.7578216589971000"
"55.65561342981642","37.396913734733317","ba3d1dc3-6fb7-4921-b34e-606172fc4b84","10","20661017","Де Марко","да","Де Марко","Западный административный округ","район Солнцево","улица Богданова, дом 17, строение 1","(495) 435-20-92","98","нет","37.3969137347333170","55.6556134298164200"
