,distr,address,phone,fullname,form,head,latitude,longitude
0,Таганский район,"109029, г. Москва, Большая Калитниковская ул., д.42/5",(495) 911-06-25,Государственное бюджетное образовательное учреждение города Москвы кадетская школа № 1785 «Таганский кадетский корпус»,бюджетное,Авдеева Елена Владимировна,37.6914901652,55.7360085677
1,район Зюзино,"117218, г. Москва, ул. Большая Черемушкинская, д.38",(495) 318-19-63,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Дворец творчества детей и молодежи «Севастополец»,бюджетное,Исхаков Александр Искандарович,37.580764169,55.6789038015
2,Пресненский район,"123022, г. Москва, ул.Б.Декабрьская., д.9, стр.1",(499) 253-00-71,Государственное автономное учреждение города Москвы «Московский центр образовательного права»,автономное,Фатхуллин Руслан Зуфарович,37.5634564665,55.7645564704
3,район Текстильщики,"109390, г. Москва, 1-ая Текстильщиков ул., д. 5/8",(499) 178-02-16,Государственное бюджетное общеобразовательное учреждение города Москвы «Специальная (коррекционная) школа № 482»,бюджетное,Обухова Елена Владимировна,37.7367313473,55.7019101396
4,Пресненский район,"125009, г. Москва, Хлыновский туп., д.3, стр.5",(495) 690-20-12,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением предметов художественно-эстетического цикла средствами театрального искусства № 123»,бюджетное,Голова Татьяна Леонидовна,37.6028155335,55.7581469292
5,район Некрасовка,"111674, г. Москва, проспект Защитников Москвы, д. 9, корп.2",(499) 588-00-50,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2051 «Педагогический комплекс»,бюджетное,Семенова Елена Николаевна,37.9222921098,55.7041666784
6,Ярославский район,"129337, г. Москва, Ярославское шоссе, д. 5строение 2",(499) 188-21-47,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский издательско-полиграфический колледж имени Ивана Федорова»,бюджетное,Татаренкова Татьяна Ивановна,37.6765126802,55.8528026151
7,район Измайлово,"105043, г. Москва, 7-я Парковая, дом 1-а",(499) 165-56-53,Государственное бюджетное образовательное учреждение города Москвы центр образования № 1483,бюджетное,Усова Ольга Ивановна,37.7939029337,55.7908040688
8,район Выхино-Жулебино,"109153, г. Москва, ул.Маршала Полубоярова, д.22",(495) 705-79-50,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1905»,бюджетное,Сарбеева Яна Юрьевна,37.8593692018,55.6813112371
9,район Новокосино,"111672, г. Москва, ул.Новокосинская, д. 40 А",(495) 702-32-83,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1591»,бюджетное,Гольдберг Владимир Абрамович,37.8724729455,55.7446377589
10,район Чертаново Центральное,"115404, г. Москва, ул.6-ая Радиальная, д.10",(495) 389-17-27,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Пищевой колледж № 33»,бюджетное,Молчанов Павел Викторович,37.6650163723,55.6084996166
11,район Тропарёво-Никулино,"119602, г. Москва, ул. Академика Анохина, д.48",(495) 438-67-00,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением информатики и английского языка № 1307,бюджетное,Судницына Марина Вячеславовна,37.4689133612,55.6526592611
12,район Матушкино,"124498, г. Москва, Зеленоград Березовая аллея д.8А",(499) 710-23-53,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1353 имени генерала Д.Ф. Алексеева»,бюджетное,Дороничева Светлана Владимировна,37.2025988557,55.995230595
13,район Северное Бутово,"117216, г. Москва, ул.Грина, д.18 б",(495) 711-37-90,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1356,бюджетное,Рослякова Лариса Эдуардовна,37.586327294,55.5669747171
14,Тимирязевский район,"127206, г. Москва, улица Вучетича, дом 30, строение 1",(495) 611-53-21,Государственное казенное общеобразовательное учреждение города Москвы «Кадетская школа-интернат № 1 «Первый Московский кадетский корпус»,казённое,Крымский Владимир Яковлевич,37.559714914,55.8153892629
15,Бескудниковский район,"127247, г. Москва, Бескудниковский проезд, дом 4 Б",(499) 489-73-20,Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1592»,бюджетное,Богданов Антон Валерьевич,37.5508575678,55.877233754
16,Тверской район,"125167, г. Москва, Авиационный пер., д. 6",(495) 692-48-51,Государственное автономное образовательное учреждение высшего профессионального образования города Москвы «Московский институт открытого образования» (средняя общеобразовательная школа № 179),автономное,Якушкин Павел Алексеевич,37.6144773972,55.7594732346
17,район Москворечье-Сабурово,"115522, г. Москва, Пролетарский пр-т, д.6, корп.3",(499) 324-29-21,Государственное бюджетное образовательное учреждение города Москвы лицей № 1511 при «Национальном исследовательском ядерном университете «МИФИ»,бюджетное,Елютин Сергей Олегович,37.6526623689,55.6484199123
18,район Проспект Вернадского,"119454, г. Москва, ул.Лобачевского, д.92",(495) 932-87-09,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1973»,бюджетное,Макарова Людмила Эдуардовна,37.4848614802,55.6808911294
19,район Преображенское,"107553, г. Москва, ул.Большая Черкизовская, д.15",(499) 161-15-06,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Дворец творчества детей и молодежи «Преображенский»,бюджетное,Коминова Елена Борисовна,37.7333454693,55.8027895398
