"Id","Number","Cells__global_id","Cells__Name","Cells__AdmArea","Cells__District","Cells__Address","Cells__ManagementCompany","Cells__LegalAddressOfManagementCompany","Cells__MarketType","Cells__ExtraInfo","Cells__geoData__type","Cells__geoData__coordinates__001","Cells__geoData__coordinates__002"
"70c7864a-835f-473f-8b6e-335cadf2c9ec","1","4401541","рынок Корд","Новомосковский административный округ","поселение Кокошкино","дачный посёлок Кокошкино, Школьная улица, дом 1","Корд(рынок)","143390, Москва г, Кокошкино п, Кокошкино дп, Школьная ул, дом № 1","Специализированный (сельскохозяйственный)","null","Point","37.163426234962891","55.602136431735282"
"ca594b85-4915-4edb-bbae-3f0f5a0e11fe","2","4401548","рынок Яковлевское","Троицкий административный округ","поселение Новофедоровское","деревня Яковлевское, дом 1","СВЕАЛ","143396, Москва г, Первомайское п, Верховье (Первомайское) д","Универсальный","null","Point","36.940715699947468","55.463493665959859"
"4d80db26-a576-4957-9cf7-9d121323886e","3","19657376","рынок Жулебино","Юго-Восточный административный округ","район Выхино-Жулебино","МКАД, 8-й километр, сооружение 1","Коммерческо-финансовая компания «ТАМП»","Москва г, Академика Скрябина ул, дом № 14/1","Специализированный (сельскохозяйственный)","null","Point","37.831998984790964","55.699386332912084"
"e71b544f-fdf1-4446-861c-6949315460d0","4","19657361","БОР-1","Юго-Западный административный округ","район Ясенево","Новоясеневский проспект, владение 46Б/Н","«Бор-1»","119333, Москва г, Фотиевой ул","Специализированный (сельскохозяйственный)","null","Point","37.555511194234015","55.5992476034067"
"b4847a54-03c6-4b1f-8c50-cc9ffbe59661","5","19657378","рынок Афганец","Юго-Восточный административный округ","район Кузьминки","Зеленодольская улица, дом 41, корпус 2, строение 2","«АФГАНЕЦ»","109462, город Москва, Зеленодольская улица, владение 42","Специализированный (сельскохозяйственный)","null","Point","37.764677112410332","55.702107088715422"
"0e2a49c6-9701-4263-abbf-9a3a901bd3a5","6","19657380","Барс-2","Юго-Восточный административный округ","район Марьино","Новочеркасский бульвар, владение 5А, строение 1","«Барс-2»","140011, Московская область, Люберецкий район, город Люберцы, Шоссейная улица, дом 2","Специализированный (сельскохозяйственный)","null","Point","37.71929799004883","55.646720515458107"
"ef2b8e2a-ebc3-44f8-96ce-1cc5ec19047e","7","19657388","Пражский рынок","Южный административный округ","район Чертаново Центральное","Кировоградская улица, владение 15Б, строение 2","«РУС»","113519, город Москва, Кировоградская улица, владение 15А","Специализированный (сельскохозяйственный)","null","Point","37.603392193836655","55.609968666044288"
"9e232d1a-4a2e-43cc-a656-6df41a013294","8","19657383","Велозаводский рынок","Юго-Восточный административный округ","Южнопортовый район","Велозаводская улица, дом 13, строение 1","«Велозаводский рынок»","115280, город Москва, Велозаводская улица, дом 13","Специализированный (сельскохозяйственный)","null","Point","37.668138861141991","55.710397781764705"
"ea8b03c6-561b-444f-97cb-0e16ca260069","9","19657386","Домодедовский рынок","Южный административный округ","район Орехово-Борисово Южное","Ореховый бульвар, дом 10, корпус 1","Холдинговая компания «Автобан и Ко»","Москва г, дом № 14,  3","Специализированный (сельскохозяйственный)","null","Point","37.721659595146896","55.610280480413778"
"04e49029-7e50-405c-bc1e-4c4ce5bee290","10","19657396","Торговый комплекс Матвеевский","Западный административный округ","район Очаково-Матвеевское","Матвеевская улица, дом 2","Торговый комплекс «Гесплей»","Москва г, Москва, Матвеевская ул","Специализированный (сельскохозяйственный)","null","Point","37.479718594375775","55.704427160412827"
