,distr,address,flagw,flacg,flags,latitude,longitude,name
0,район Хамовники,"Пересечение улиц Усачёва и Трубецкой, Усачёва и Хользунова переулка",да,да,да,37.5737360338,55.729297266,Структурное подразделение Парк Усадьба Трубецких в Хамовниках
1,район Преображенское,"Расположен между стадионом Локомотив, Черкизовским прудом, зданиями по адресу Большая Черкизовская дом 21, строение 2 и Большая Черкизовская, дом 23",нет,да,да,37.737510764,55.8037774471,Черкизовский парк
2,Гагаринский район,"Главный вход в парк расположен со стороны улицы Косыгина, рельеф местности спокойный, резкопересечённый, с перепадом высот до 30 м, площадки и дорожки выложены плиткой и асфальтом, за корпусами расположен парк с многолетними деревьями",да,нет,да,37.5471251697,55.7007757035,Памятник садово-паркового искусства – «Парк Дворца творчества детей и юношества» по адресу ул.Косыгина д.17
3,район Филёвский Парк,"улица Большая Филёвская, дом 9",нет,да,да,37.5029716364,55.748214268,Структурное подразделение «Детский парк «Фили»
4,район Ясенево,Восточная часть района Ясенево,да,да,да,37.5800290074,55.6452302977,Природно-исторический парк «Битцевский лес»
5,район Куркино,"улица Вилиса Лациса, дом 18, корпус 3",да,да,да,37.4371982742,55.8768395636,Природно-исторический парк «Тушинский»
6,район Тропарёво-Никулино,"между МКАД и улицей Академика Анохина, Тропаревской улицей и Востряковским шоссе",да,да,да,37.4576472061,55.6667939766,Ландшафтный заказник «Тропарёвский»
7,район Кузьминки,"Кузьминская улица, дом 10",да,да,да,37.7656430977,55.6986720198,Природно-исторический парк «Кузьминки-Люблино»
8,район Матушкино,Зеленоград лесопарковая зона между 4 и 12 микрорайоном,нет,да,нет,37.191356155,55.996899295,Крюковский лесопарк Дунькин пруд
9,район Бирюлёво Восточное,"между Липецкой улицей, владение 5А и Шипиловским проездом, до улицы Борисовских Прудов, напротив дома 16",да,да,да,37.6884094855,55.6386271392,Природно-исторический парк «Царицыно»
10,Останкинский район,"1-я Останкинская улица, дом 1, строение 1",да,нет,нет,37.5919510773,55.8459382077,Природно-исторический парк «Останкино»
11,район Восточное Измайлово,лесопарк Измайловский,да,да,да,37.8386078599,55.8075995013,Природно-исторический парк «Измайлово»
12,район Косино-Ухтомский,"Черное озеро, Белое озеро, устье реки Рудневки",да,да,да,37.9228823917,55.731292306,Природно-исторический парк «Косинский»
13,район Тёплый Стан,Теплостанская возвышенность,да,да,да,37.4859444401,55.6446137531,Ландшафтный заказник «Тёплый Стан»
14,район Хорошёво-Мнёвники,"4-я линия Хорошевского Серебряного Бора, дом 74, строение 1",да,да,да,37.4444511757,55.7904006554,Памятник природы «Серебряный Бор»
15,район Покровское-Стрешнево,"Иваньковское шоссе, дом 8, строение 2",да,да,да,37.4720234106,55.8316088747,Природно-исторический парк «Покровское-Стрешнево»
16,Молжаниновский район,"Между Новосходненским шоссе, деревней Новоподрезково и рекой Сходня",нет,нет,нет,37.3418433835,55.9316271783,Ландшафтный заказник «Долина реки Сходни в районе Молжаниновский»
17,Можайский район,"между МКАД, Кутузовским проспектом, Мичуринским проспектом и третьим транспортным кольцом",да,да,да,37.5390459311,55.7319322277,Природный заказник «Долина реки Сетунь»
18,район Крылатское,"между Москвой-рекой и Молодогвардейской улицей, Большой Филевской улицей и МКАД",да,да,да,37.3958450668,55.8301725641,Природно-исторический парк «Москворецкий»
19,район Сокольники,Парк культуры и отдыха Сокольники,да,нет,нет,37.6692024826,55.8195695658,Природно-исторический парк «Сокольники»
20,район Куркино,"Родионовская улица, дом 16, строение 1",да,да,нет,37.3842408592,55.9112226923,Ландшафтный заказник «Долина реки Сходни в Куркино»
21,район Филёвский Парк,"Большая Филёвская улица, дом 22",да,да,да,37.4934751768,55.7528117744,Парк «Фили»
22,Таганский район,"Таганская улица, дом 40 - 42",нет,да,да,37.6663627165,55.7387100345,Парк Таганский (основная территория)
23,район Якиманка,"улица Крымский Вал, владение 2",нет,да,нет,37.6094721072,55.7332598952,Музеон
24,район Лефортово,"Красноказарменная улица, владение 1",да,да,да,37.690364234,55.7663811271,Усадьба «Лефортово»
25,район Измайлово,городок имени Баумана,да,нет,нет,37.7667084092,55.7905303854,Усадьба «Измайлово»
26,район Хамовники,"улица Плющиха, дом 57, строение 4",нет,да,нет,37.5768143262,55.7374044197,Сквер «Девичье поле»
27,Лосиноостровский район,"Стартовая улица, дом 10",да,да,да,37.7008668518,55.8891043248,Парк у Джамгаровского пруда
28,район Вешняки,пересечение улицы Юности и аллеи Жемчуговой,да,да,да,37.811795866,55.732414333,Парк у прудов «Радуга»
29,Тимирязевский район,"Тимирязевская улица, дом 27",да,да,да,37.5681204708,55.8218769709,Парк «Дубки»
30,Дмитровский район,пересечение улиц Ангарской и Софьи Ковалевской,да,да,да,37.5304376425,55.8849657937,Парк «Ангарские пруды»
31,район Северное Измайлово,"Щелковское шоссе, владение 10 - 12",нет,да,да,37.7682195201,55.8061707797,Парк «Сиреневый сад»
32,район Братеево,"улица Борисовские пруды, дом 1",да,да,да,37.7086643833,55.6354876679,Зона отдыха Борисовские пруды
33,район Покровское-Стрешнево,"улица Свободы, дом 2, строение 2",да,да,да,37.4535506145,55.8221108183,Парк «Долина реки Химки»
