,distr,address,phone,hasrent,hastoilet,latitude,longitude
0,район Люблино,"улица Марьинский Парк, дом 37",(499) 722-74-75,нет,нет,55.66719519451279,37.79182988120686
1,район Тёплый Стан,"улица Островитянова, дом 10, строение 3",(495) 438-63-72,да,нет,55.63913573794496,37.49801935860409
2,Нижегородский район,"Перовское шоссе, дом 25, строение 1",(495) 678-50-49,да,да,55.7370985147282,37.757082212444956
3,Хорошёвский район,"Ходынский бульвар, дом 7, строение 1",(499) 740-54-29,нет,нет,55.78467726722841,37.53018582707243
4,район Тропарёво-Никулино,"проспект Вернадского, дом 86Д",(499) 145-45-05,нет,да,55.66005774861298,37.47945643446196
5,Южнопортовый район,"2-й Южнопортовый проезд, дом 15",(495) 958-98-64,нет,нет,55.69902663222372,37.68230181610311
6,район Хамовники,"Усачёва улица, дом 1А/4, строение 1",(495) 248-07-17,нет,нет,55.72933048386801,37.57781695857371
7,Обручевский район,"Воронцовский парк, дом 3",(495) 580-26-78,да,да,55.665074936569546,37.52952616733429
8,район Северное Медведково,"Северодвинская улица, дом 21",(499) 184-34-22,нет,нет,55.89178694113268,37.68326801047453
9,район Гольяново,"Алтайская улица, дом 4",(499) 166-61-19,нет,нет,55.82020671941738,37.80274273522939
10,район Южное Медведково,"Осташковская улица, дом 14, строение 3",(499) 184-34-22,нет,нет,55.88389368182011,37.67692688001448
11,район Марьино,"улица Перерва, дом 41, корпус 1",(495) 657-45-12,да,да,55.66135437892064,37.75634468179074
12,район Марьино,"Поречная улица, дом 13, корпус 1",(495) 657-45-05,да,да,55.64324766786584,37.74499172062154
13,район Лианозово,"Угличская улица, дом 11, строение 1",(495) 579-29-76,нет,да,55.90126353137584,37.56528318831253
14,район Ховрино,"улица Дыбенко, дом 5",(495) 482-30-09,нет,нет,55.87448581082622,37.48205359501082
15,Головинский район,"Михалковская улица, дом 38",(495) 708-05-11,нет,нет,55.84273036371451,37.51896248791951
16,район Ховрино,"Клинская улица, дом 2, строение 2",(495) 754-98-48,нет,нет,55.86580818755216,37.50559851185674
17,Хорошёвский район,"улица Куусинена, дом 15, корпус 3",(495) 754-98-48,да,да,55.79107915623227,37.513712485327
18,район Орехово-Борисово Северное,"Дольская улица, дом 1",(495) 321-63-66,нет,нет,55.6091394383384,37.697119671490206
19,Лосиноостровский район,"Стартовая улица, дом 10",(499) 184-34-22,нет,да,55.887812527760985,37.69682638385325
20,район Ивановское,"улица Металлургов, дом 41, строение 1",(499) 367-89-18,нет,нет,55.76128376045177,37.804133280331584
21,район Северное Тушино,"улица Свободы, дом 56",(495) 640-73-55,да,да,55.863736065485895,37.44929194746201
22,Пресненский район,"Мантулинская улица, дом 5, строение 2",(925) 800-27-71,да,да,55.753764140536575,37.55042009175105
23,район Измайлово,"городок имени Баумана, дом 2, строение 14",(499) 165-12-36,да,да,55.79048806641912,37.763006606500575
24,район Кунцево,"улица Академика Павлова, дом 5/2",(499) 144-39-22,нет,нет,55.74196509155117,37.391432295334454
25,район Зябликово,"улица Мусы Джалиля, дом 9, корпус 5",(495) 382-81-10,да,нет,55.62693732115459,37.74950149994876
