"Id","Number","Cells__global_id","Cells__system_object_id","Cells__ID","Cells__YName","Cells__Name","Cells__AdmArea","Cells__District","Cells__ParkName","Cells__WiFiName","Cells__CoverageArea","Cells__FunctionFlag","Cells__AccessFlag","Cells__Password","Cells__Longitude_WGS84","Cells__Latitude_WGS84","Cells__geoData__type","Cells__geoData__coordinates__001","Cells__geoData__coordinates__002"
"f829fff6-55f8-4f26-9286-44f282bbb0e6","1","64001110","489","489","Точка доступа wi-fi mos.ru","Точка доступа №489","Северо-Восточный административный округ","Останкинский район","Выставка достижений народного хозяйства","Moscow_WiFi_Free","20","действует","открытая сеть","null","37.627498","55.838160","Point","37.627498000135461","55.838159999841672"
"a3b96a44-e679-4519-ad36-6759a3a83ee2","2","46812539","8","8","Точка доступа wi-fi mos.ru","Точка доступа №8","Центральный административный округ","Басманный район","Государственное автономное учреждение культуры города Москвы «Сад культуры и отдыха имени Н.Э.Баумана»","Moscow_WiFi_Free","20","действует","открытая сеть","null","37.658722","55.767814","Point","37.65872200031037","55.767814000122428"
"2a09b517-c784-4c77-a7e7-9f7af603bcae","3","46813403","118","118","Точка доступа wi-fi mos.ru","Точка доступа №118","Восточный административный округ","район Измайлово","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Измайловский»","Moscow_WiFi_Free","20","действует","открытая сеть","null","37.75211","55.774845","Point","37.752110000254675","55.774844999846792"
"ea58ab9a-d87c-41cc-812a-79fd861775ca","4","46813741","158","158","Точка доступа wi-fi mos.ru","Точка доступа №158","Юго-Восточный административный округ","район Кузьминки","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Кузьминки»","Moscow_WiFi_Free","20","действует","открытая сеть","null","37.765839","55.697814","Point","37.765839000352557","55.697813999819459"
"7ac468cd-faa1-4f19-89f3-566033cd5ecc","5","46813721","145","145","Точка доступа wi-fi mos.ru","Точка доступа №145","Юго-Восточный административный округ","район Кузьминки","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Кузьминки»","Moscow_WiFi_Free","20","действует","открытая сеть","null","37.769558","55.694543","Point","37.7695579995777","55.694542999778747"
"f841be2c-72f9-4c97-90e1-630d6ec1b1be","6","46813556","335","335","Точка доступа wi-fi mos.ru","Точка доступа №335","Северо-Западный административный округ","район Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","null","37.452755","55.868856","Point","37.452754999953022","55.868855999961056"
"16c426f9-9b0d-43df-823b-51245531801b","7","64001066","445","445","Точка доступа wi-fi mos.ru","Точка доступа №445","Северо-Восточный административный округ","Останкинский район","Выставка достижений народного хозяйства","Moscow_WiFi_Free","20","действует","открытая сеть","null","37.633649","55.829192","Point","37.633649000244425","55.82919199990274"
"94dc80b8-3802-4d63-9f4c-2ec3903d6ce5","8","46813586","205","205","Точка доступа wi-fi mos.ru","Точка доступа №205","Восточный административный округ","район Перово","Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»","Moscow_WiFi_Free","20","действует","открытая сеть","null","37.776457","55.742425","Point","37.77645699987427","55.742425000094656"
"7ff19e10-acae-449b-8af5-2f4ab6ee692f","9","46813539","324","324","Точка доступа wi-fi mos.ru","Точка доступа №324","Северо-Западный административный округ","район Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","null","37.452556","55.852581","Point","37.45255599976138","55.852581000198626"
"0ca37558-e386-4637-9230-dbefbd34d66d","10","46813601","215","215","Точка доступа wi-fi mos.ru","Точка доступа №215","Восточный административный округ","район Перово","Государственное автономное учреждение культуры города Москвы «Перовский парк культуры и отдыха»","Moscow_WiFi_Free","20","действует","открытая сеть","null","37.773717","55.738972","Point","37.773716999917148","55.738972000149474"
"6e386c00-79ad-46c9-b70c-9f3fe32c93de","11","46808961","257","257","Точка доступа wi-fi mos.ru","Точка доступа №257","Центральный административный округ","Пресненский район","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Красная Пресня»","Moscow_WiFi_Free","20","действует","открытая сеть","null","37.55402","55.755189","Point","37.554019999636978","55.755188999886769"
"21518156-47f1-434b-9b27-ca8fb2574da5","12","64001091","470","470","Точка доступа wi-fi mos.ru","Точка доступа №470","Северо-Восточный административный округ","Останкинский район","Выставка достижений народного хозяйства","Moscow_WiFi_Free","20","действует","открытая сеть","null","37.633216","55.828668","Point","37.633215999701093","55.82866800004409"
"b4d3135b-66a4-4a34-8156-a9fad1b6afaa","13","64001115","494","494","Точка доступа wi-fi mos.ru","Точка доступа №494","Северо-Восточный административный округ","Останкинский район","Выставка достижений народного хозяйства","Moscow_WiFi_Free","20","действует","открытая сеть","null","37.619338","55.837398","Point","37.619337999640244","55.837398000213554"
"47061881-6f2a-4e25-97b3-7e859a4909b8","14","46813545","327","327","Точка доступа wi-fi mos.ru","Точка доступа №327","Северо-Западный административный округ","район Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","null","37.455111","55.852882","Point","37.455110999770589","55.852882000132062"
"ecd41a77-e260-4aa0-aa68-79bf76725232","15","46813415","126","126","Точка доступа wi-fi mos.ru","Точка доступа №126","Восточный административный округ","район Измайлово","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Измайловский»","Moscow_WiFi_Free","20","действует","открытая сеть","null","37.75081","55.77614","Point","37.750809999697971","55.776140000012568"
